Case	One Book	Low Book	Rating	Product Date	Pairings
1	ttt	yyy	uuu	ii	pgf
2	ghg	fgfgh	moo	oo	pp
3	bhjh	vbv	bvbf	ffg	ccb
4	hjg	ghj	cv	mok	pmbf
5	dfgd	hgj	ghj	jhg	ghj
6	hjk	hjk	hjkh	jhk	hjkh
7	jhj	ghf	fghfg	klk	hfghgf
8	jghj	fgf	rty	uio	jinmbmn
9	jhjgf	fgf	jhjk	hjhk	kjkljlk
10	hgj	vvjh	vjvj	vgvb	bhbhj
11	ttt	yyy	uuu	ii	pgf
12	ghg	fgfgh	moo	oo	pp
13	bhjh	vbv	bvbf	ffg	ccb
14	hjg	ghj	cv	mok	pmbf
15	dfgd	hgj	ghj	jhg	ghj
16	hjk	hjk	hjkh	jhk	hjkh
17	jhj	ghf	fghfg	klk	hfghgf
18	jghj	fgf	rty	uio	jinmbmn
19	jhjgf	fgf	jhjk	hjhk	kjkljlk
20	hgj	vvjh	vjvj	vgvb	bhbhj1
21	ghg	fgfgh	moo	oo	pp
22	bhjh	vbv	bvbf	ffg	ccb
23	hjg	ghj	cv	mok	pmbf
24	dfgd	hgj	ghj	jhg	ghj
25	hjk	hjk	hjkh	jhk	hjkh
26	jhj	ghf	fghfg	klk	hfghgf
27	jghj	fgf	rty	uio	jinmbmn
28	jhjgf	fgf	jhjk	hjhk	kjkljlk
29	hgj	vvjh	vjvj	vgvb	bhbhj
30	ttt	yyy	uuu	ii	pgf
31	ghg	fgfgh	moo	oo	pp
32	bhjh	vbv	bvbf	ffg	ccb
33	hjg	ghj	cv	mok	pmbf
34	dfgd	hgj	ghj	jhg	ghj
35	hjk	hjk	hjkh	jhk	hjkh
36	jhj	ghf	fghfg	klk	hfghgf
18	jghj	fgf	rty	uio	jinmbmn
19	jhjgf	fgf	jhjk	hjhk	kjkljlk
20	hgj	vvjh	vjvj	vgvb	bhbhj
